"Listing URL","Property Type","Latitude","Longitude","Star Rating","Number of Active Days","Bedrooms","Has pool","Cleaning Fee","Extra Guest Fee","Average Daily Rate LTM","Occupancy Rate LTM","Annual Revenue LTM"
"http://airbnb.com/rooms/41027905","Private Room","33.40094","-112.10339","4.5","21","1","f","5","10","41","100","15529"
"http://airbnb.com/rooms/41080677","Entire Home","33.4872","-111.97","5","253","1","f","30","0","67","92","25425"
"http://airbnb.com/rooms/41087975","Entire Home","33.61549","-111.95843","4.8","241","4","t","207","0","266","56","63007"
"http://airbnb.com/rooms/41104778","Entire Home","33.29977","-111.97416","5","129","2","t","175","0","187","42","39173"
"http://airbnb.com/rooms/41107580","Entire Home","33.47606","-112.05984","4.9","19","2","f","70","0","263","100","108394"
"http://airbnb.com/rooms/41126459","Private Room","33.50023","-112.04116","4.8","61","1","f","40","0","113","63","26538"
"http://airbnb.com/rooms/41127288","Condo","33.50117","-112.00523","4.8","270","2","t","100","0","126","69","34260"
"http://airbnb.com/rooms/41132214","Entire Home","33.2961","-112.04449","5","327","4","t","240","0","409","74","122056"
"http://airbnb.com/rooms/41132887","Entire Home","33.49769","-112.03664","5","11","2","t","120","0","92","100","45650"
"http://airbnb.com/rooms/41133554","Entire Home","33.50797","-111.97387","5","329","9","t","500","7","3521","47","625150"
"http://airbnb.com/rooms/41134579","Private Room","33.57932","-112.06371","5","114","1","t","0","0","79","74","21395"
"http://airbnb.com/rooms/41158915","Entire Home","33.50741","-111.98533","5","35","Studio","f","0","0","69","58","14650"
"http://airbnb.com/rooms/41195051","Entire Home","33.4264","-112.19775","4.7","360","3","t","150","5","254","51","52901"
"http://airbnb.com/rooms/41196311","Entire Home","33.5751","-112.01133","4.7","62","3","t","175","0","217","100","91819"
"http://airbnb.com/rooms/41199619","Entire Home","33.48383","-112.04518","4.9","354","1","f","85","3","127","45","23290"
"http://airbnb.com/rooms/41210379","Private Room","33.46574","-111.99081","4.8","263","1","f","7","0","62","65","15159"
"http://airbnb.com/rooms/41212643","Entire Home","33.57785","-111.95206","5","158","2","t","0","0","516","52","98206"
"http://airbnb.com/rooms/41214845","Entire Home","33.48734","-112.03024","5","133","5","t","200","0","737","100","283501"
"http://airbnb.com/rooms/41283821","Entire Home","33.57836","-111.9991","5","26","1","t","0","0","319","100","116754"
"http://airbnb.com/rooms/41289799","Entire Home","33.60603","-111.94105","5","367","3","t","0","0","488","21","37508"
"http://airbnb.com/rooms/41291061","Entire Home","33.5147","-112.06299","0","7","2","t","105","0","693","100","270108"
"http://airbnb.com/rooms/41291531","Private Room","33.49793","-112.01471","5","70","1","f","30","0","60","55","13019"
"http://airbnb.com/rooms/41324863","Condo","33.38393","-112.0135","4.9","288","1","t","0","0","116","50","21228"
"http://airbnb.com/rooms/41341577","Entire Home","33.6014","-111.93926","4.7","320","6","t","375","0","809","65","215193"
